question;answer    
Какой титул носил Юлий Цезарь?;Диктатор
Первый император Рима;Октавиан Август
Какой политический союз организовал Цезарь?;Триумвриат
Изображение какого бога помещалось на некоторых монетах?;Марс
Какой император создал профессиональную римскую армию?;Октавиан Август
"Какое эллинистическое государство было ближайшим к Риму?

";Македония
Кто правил Македонией в начале 3 - конце 2 века до нашей эры?;Филипп
Кто из греческих философов был учителем Александра Македонского?;Аристотель
Кто по профессии был отец Аристотеля?;Врач
Как называлась школа, основанная Аристотелем в Афинах?;Ликей
Какой труд Аристотеля является одним из самых известных произведений Античности?;История животных
"Какой орган Аристотель считал самым главным в организме человека?
";Сердце
"Какой термин ввел Аристотель для обозначения совокупности добродетелей характера человека как особой предметной области знания?
";Этика
Кем был Евклид?;Математиком
Какой из диалогов Платона нашел отклик у Евклида?;Тимей
Что означает имя Евклид?;Добрая слава
Как звали древнеегипетского солнечного бога?;Ра
Какой из древнеегипетских богов олицетворял собой солнечный диск?;Ра
Кто из богов был первым царем Египта?;Осирис
Как звали древнеегипетского бога знаний?;Тот
Какое женское божество изображалось с головой львицы?;Тефнут
Как звали древнеегипетского быка с солнечным диском между рогами?;Апис
Как называлась система верований древних египтян?;Политеизм
На каком языке записывались книги в Риме?;Латынь
Под влиянием культуры какой страны находился Рим?;Греция
Кто написал первую летопись Рима?;Марк Порций
Какой великий мыслитель Рима написал «Энеиду»?;Вергилий
Кем был Цицерон?;оратором
Наиболее совершенный образцом древнегреческого храма является;Парфенон
Архитектор, воздвигший Парфенон;Калликрат
Наиболее важные архитектурные сооружения Древней Греции;Храмы
Про какой город шутили, что в нем больше статуй, чем людей?;Афины
Какая статуя считалась одним из чудес света в Древней Греции?;Статуя Зевса
Первые сцены, которые разыгрывались греками, были из жизни бога;Диониса
Кто исполнял женские роли в древнегреческом театре?;Мужчины
Как назывались песни в честь Диониса?;Трагедии
Как звали циклопа, которого ослепил Одиссей?;Полифем
Родная земля Одиссея;Итака
Как звали жену Одиссея?;Пенелопа
Какая из профессий считалась наиболее уважаемой и высокооплачиваемой в Египте?;Писец
За сколько лет возвели Великую Китайскую Стену?;10
Какова длинна Великой Китайской Стены в тысячах киллометров?;8
Какую редкую ткань производили в Китае?;Шелк
Какой злак в Китае выращивали больше всего?;Рис
Какую реку Китая называют «рекой тысячи бедствий»Какую реку Китая называют «рекой тысячи бедствий»Какую реку Китая называют «рекой тысячи бедствий»?;Хуанхэ
Сколько государств образовалось после распада державы Александра Македонского?;3
Какой ученый создал автоматический театр кукол?;Герон
Какое сооружение является символом Александрии?;Александрийский маяк
Кто был первым организатором Олимпийских игр?;Геракл
Сколько дней длились древние Олимпийские игры?;5
Какую награду получал победитель Олимпийских игр в древности?;Лавровый венок
Чемпионом первых Олимпийских игр стал молодой атлет по имени Корзб. Кем он был по профессии?;Пекарь 
Какой древнегреческий философ дважды становился победителем Олимпийских игр?;Платон
Олимпийские игры в древности проводились в честь какого бога?;Зевса
Пентатлон – пятиборье древнегреческих Олимпиад, проводился в следующем порядке: бег, прыжки в длину, метание диска... А какие соревнования проводились в финале?;Борьба
Какое современное государство считается родиной Олимпийских игр?;Греция
Как звали победителя Олимпийских игр в Древней Греции?;Олимпионик
Какой из римских богов самый старший?;Сатурн
Как назывался высший жрец у римлян?;понтифик
Как называлось главное помещение в доме римлянина?;Атрум
Как называли духов предков в Древнем Риме?;Лары
Как звали маленьких хранителей очага в Древнем Риме?;Пенаты
На какой горе обитали боги Греции?;Олимп
Покровительницей чего была жена Зевса?;Брака
"Какой бог считался самым трудолюбивым богом древнегреческой мифологии?
";Гефест
Сколько братьев было у Зевса?;2
Какая богиня обеспечивала плодородие греческих земель?;Деметра
Что лежит в основе религии ариев?;переселение душ
Кто стал родоначальником буддизма;Гаутама
Какую популярную игру создали в Индии?;Шахматы
Какое важное изобретение Китая сначала использовалось в гадании, а потом в мореходстве?;компас
Кого в Китае называли «Сыном неба»?;Императора
Какая религия распространена в Китае?;Конфуцианство
Какое животное считалось символом мудрости в Китае?;Дракон
Какое искусство славило Китай на весь мир?;Гончарное
Какая страна не была захвачена Вавилоном?;Греция
Ворота какой богини были самыми красивыми в Вавилоне?;Иштар
Какое из чудес света находится в Вавилоне?;Сады Семирамиды
Чем занимались персы?;Скотоводством
Какой царь смог объединить племена Персиды?;Кир
Даром какой реки назвал Египет древнегреческий историк Геродот?;Нил
Назовите самую древнюю столицу Египта;Мемфис
Как звали жену бога Осириса?;Исида
Как звали сына Осириса?;Гор
Фараон, гробницу которого нашли археологи нетронутой;Тутанхамон
Как называли египтяне ветер, дующий из пустыни 50 дней?;Хамсин
Какую крупнейшую реформу провел фараон Эхнатон?;Религиозную
Как звали отца Зевса?;Кронос
Каким мясом кормил Диомед своих коней?;Человеческим
Что, согласно мифологии, изобрел Цан Цзе, изучая следы зверей и птиц?;Иероглифы
Какую краску из смеси сосновой сажи, продуктов сгорания растений и клея использовали древние китайцы в каллиграфии и живописи?;Тушь
Что выступало центральным божеством в верованиях китайцев?;Небо
Как называются многоярусные башни, которые строили в Древнем Китае?;Пагоды
Сколько этажей в самой знаменитой пагоде Диких гусей в Китае?;7
В каком виде искусства в Китае использовались жанры «цветы-птицы», «люди», «горы-воды»?;Живопись
Как называют философов, стоявших у истоков зарождения философии?;Досократики
Какой римский император любил выступать на арене в качестве гладиатора, хотя в этих боях принимали участие преимущественно рабы?;Коммод
Направлением какой древней религии является Махаяна?;Буддизм
Как называется философско-этическая система, разработанная китайским мыслителем в V веке до нашей эры?;Конфуцианство
От кого, по мнению древнегреческих философов, произошел человек?;Рыб 
Сын Зевса и смертной женщины Алкмены?;Геракл
Кто принёс Гераклу яблоки Гесперид?;Атлас
Как называлась река забвения в древнегреческих мифах?;Лета
Кто из античных скульпторов создал прославленную статую Зевса Олимпийского?;Фидий
Укажите римского императора, который потребовал от своего учителя покончить с собой, обвинив его в заговоре.;Нерон
Кто считается мифическим основателем Афин?;Кекроп
Кто впервые ввёл категорию «Логос» в античной философии?;Гераклит
Какой античный мыслитель считал «человека мерой всех вещей»;Протагор
Философское учение, которое провозглашает верховенство добра в мире, защищает незыблемость установленных норм;легизм
Какой народ изобрел стекло?;Финикийцы
При Веспасиане Флавии в Риме началось строительство громадного амфитеатра. Как он назывался?;Колизей
Отцу Конфуция было 63 года, когда он родился. Сколько же лет было его матери?;17
Каким словом в конфуцианстве обозначалось человеческое начало в человеке, которое является одновременно его долгом?;Жэнь
Что означает название «Месопотамия»?;Междуречье
Кому из народов Месопотамии принадлежат первые письменные документы?;Шумерам
Как называлась первая система письменности, созданная шумерами?;Клинопись
Какой вид хозяйства был характерен для Месопотамии?;Храмовое
Кто был верховным богом Междуречья?;Мардук
"""Это был самый могущественный царь Вавилона, он оставил о себе память в законах, записанных на столбе из черного камня"". О ком идёт речь?";Хаммурапи
В одной из стран в период древнего мира были созданы цифры. Европейцы называли их арабскими, так как узнали их от арабов. Но сами цифры возникли в другой стране. В какой?;Индии
Как называются значки для письма в Финикии и Греции?;Буквы
Как называлась возвышенная и укреплённая часть Афин?;Акрополь
Как называлась школа в Афинах, где занимались гимнастикой?;Пелестра
За сколько лет возвели Великую Китайскую Стену?;2000
Какой город стал столицей Китая при правителе Цинь? ;Сяньян
Этот всем вам хорошо известный древнегреческий ученый, врач, был последователем Демокрита. Кто он?;Гиппократ
Кто из древнегреческих ученых высказал гениальную мысль, что весь мир состоит из мельчайших частиц – атомов?;Демокрит
В Античность он считался самой крупной весовой и денежно-счетной единицей.;Талант
Так в древнем Риме называли чужестранца, говорящего на непонятном языке.;Варвар
Так по-гречески будет «искусство полководца».;Стратегия
Из этого драгоценного металла был изготовлен гроб египетского правителя Тутанхамона.;Золото
Народ, почитавший одного бога Яхве;Евреи 
На сколько периодов делят художественную культуру Древней Греции?;3
Как в Греции называли «учителей мудрости»?;Софисты
Кому принадлежит высказывание : Я знаю, что я ничего не знаю»;Сократ
Как называется древнекитайская школа утверждавшая, что природа  человека изначальна зла?;Легизм
Автор трактатов «Аналогия Сократа», «Государство», «Законы»;Платон
Состояние души в древнеиндийской философии,  в котором достигается полное освобождение;Нирвана
Кем по политическому убеждению был Гораций?;Республиканец
Кого из политиков своей современности поддерживал Гораций?;Брут
В какой стране Октавиан Август был политическим деятелем?;Рим
Кем было подавлено Великое Иллирийское восстание?;Тиберием
Сколько лет было Александру Македонскому, когда он принял участие в своей первой битве при Херонее?;18
В поход на какой народ собирался идти Александр Македонский за 5 дней до своей смерти?;Арабы
Кому, согласно легенде, Александр Македонский перед смертью отдал царское кольцо с печатью?;Пердикке
Кто был самым выдающимся стратегом Афин?;Перикл
Что было главным нарядом Вавилонян?;туника
Какая деятельность была главной в Вавилоне?;торговля
На какой реке стояло Вавилонское царство?;Ефрат
Как называли охранников римского императора?;преторианцы
"Варварские племена, несшие военную службу на границах Римской империи; получали для поселения пограничные земли и жалованье";федераты
Эти воины охраняли границыримской империи, сдерживая врагов до подхода основных сил;лимитаны
Солдаты полевой армии поздней Римской Империи, являвшиеся основной и наиболее боеспособной её частью ;комитаты
В древнегерманском и древнескандинавском обществе воин, посвятивший себя богу Одину. Перед битвой  приводили себя в состояние повышенной агрессии и пли зелье из грибов.Кто это?;берсерки
Так назывались у римлян посланники, отправляемые к другим правительствам или народам кто это;легат
В армии Древнего Рима - воины тяжёлой пехоты римского легиона в IV-II вв. до н. э.  из первого имущественного класса в большенстве ветераны в бой вводились в решающий момент;триарии
Воины авангарда тяжёлой пехоты римского легиона в IV—II вв. до н. э.;гастаты
Отряд римского войска, равный 0,1 легиона;когорта
Основная организационная единица в древнеримской армии;легион
Боец в Древнем Риме, который сражался с подобными себе на забаву публики на специальных аренах;гладиатор
Население Древнего Рима, первоначально не пользовавшееся политическими правами в отличие от патрициев;плебс
В Древнем Риме — лицо, принадлежавшее к исконным римским родам, составлявшим правящий класс и державшим в своих руках общественные земли.;патриции
Разновидность лёгкой пехоты в Древней Греции, часто использовались как застрельщики, метавшие дротики. Получили наименование по названию щита;пельтасты
 Воины лёгкой пехоты времён Республики в Древнем Риме. Набирались преимущественно из беднейших слоёв населения пользовались дротиками;левисы
Разновидность лёгкой пехоты в древнеримской армии. Часто использовались как застрельщики. Название происходит от латинского слова velox — быстрый набирались из среднего класса;велиты
Древнегреческий тяжёловооружённый пеший воин. Слово происходит от названия тяжёлого круглого щита — гоплон;гоплит
Лёгкая пехота, которая входила в состав римского легиона эпохи Ранней республики (VI—IV вв. до н. э.) В соответствии с четвёртым имущественным классом по реформе Сервия Туллия были вооружены копьём для ближнего боя;рорарии
Легкая пехота в римской армии. набиралась из бедных вольноотпущенников, пользовалась копьями;вигилы
Боевой порядок (строй) пехоты в Древней Македонии, Греции и ряде других государств, представляющий собой плотное построение воинов в несколько шеренг;фаланга
Античная двухплечевая машина торсионного действия для метания камней;баллиста
Древнеримский небольшой стреломет;скорпион
Гребной военный корабль с двумя рядами вёсел. Оснащались таранами могла иметь боевую башню и большой блок для разрушения корпуса вражеского корабля;бирема
Скорострельная баллиста, изобретённая Дионисием (Александрия);полибол
Позднеримская метательная машина торсионного типа, буквально переводится как дикий осёл;онагр
Дружина македонского царя из тяжеловооружённых всадников времён Александра Великого на греческом значат «товарищи, свита, дружина», по сути это прообраз дворянского корпуса;гетайры
Римский короткий меч (до 60 сантиметров). Предположительно, был позаимствован (и усовершенствован) римлянами у древних жителей Пиренейского полуострова;гладиус
Жрецы у древних кельтских народов, организованные в виде замкнутого, но не наследственного сословия, также выполняли функции судей, занимались врачеванием и астрономией;друиды
Тяжёлая кавалерия в Античную эпоху. Как правило, термин приминяется к парфянской коннице;катафракты
Сереброщитные — элитное подразделение гипаспистов в составе царской Агемы, которые за отличия в сражениях получили от Александра Македонского знак отличия — посеребренные щиты;аргираспиды
 Представляли собой быстрых конных разведчиков, задачей которых был поиск следов противника, выявление возможных засад. Кто это?;Эксплораторы
Элитные пехотные подразделения поздней римской армии, впервые появившиеся при императоре Константине I, около 325 н. э. были сформированы взамен преторианской гвардии для охраны дворца;палатины
Солдаты Римской империи и Византии, обслуживающие баллисты;баллистарии
Вспомогательное подразделение древнеримской армии, набиравшееся частью из вассальных и союзных народов, частью из иностранцев-наёмников;ауксилия
Тяжелобронированная кавалерия у Персов и Сарматов. Позже была отчасти заимствована в Позднем Риме;клибнарии
Где умер Александр Македонский;Вавилон
Предмет спора, причина вражды. Повод для Троянской войны.;яблоко раздора
Кто в 356 г. до н.э. сжёг храм Артемиды в Эфесе?;Герострат
"Кому принадлежат эти слова: ""Какой великий артист погибает"".";Нерон
Страна, которая расположена на восточном побережье Средиземного моря, где находятся города Библ, Тир, Сидон;Финикия
Страна, которая была расположена между двумя большими реками Ефрат и Тигр;Двуречье
В древности эта страна называлась Та-Кемет. Как мы называем ее теперь;Египет
Он умел делать сразу несколько дел, и среди его убийц был приемный сын;Цезарь
Какую реку перешел Цезарь,воскрикнув жребий брошен?;Рубикон
Как назывались войны рима и карфагена?;Пунические
Кто разгромил Гаструбала и захватил все карфагенские владения в Испании?;Сципион
"Кому принадлежат эти слова: ""Я, точно волк, вертелся среди стаи псов.""?";Солон
Небольшое самостоятельное государство Греции;полис
представители низшего сословия , первоначально не имеющие гражданских прав;плебеи
Торжественный въезд полководца-победителя в Рим;триумф
Столица Ассирийской державы, которую называли “логовищем львов и городом крови;Ниневия
Где были созданы знаменитые висячие сады Семирамиды?;Вавилон
В какой стране возникло христианство?;Палестина
Жестокий и тщеславный правитель, ложно обвинил первых христиан в поджоге Рима;Нерон
Самый высокий из семи  холмов, на которых основан рим;Капитолийский
На берегу какой реки был основан рим?;Тибр
Знатное высшее должностное лицов афинах;Архонт
Земледельцы в древней спарте, находящиеся в промежуточном положении между крепостными и рабами.;илоты
Царь в Вавилонии когда-то был,могущественным, знаменитым слыл от рабства подданных он защитил законы царские он учредил.;Хаммурапи
Кто возглавил востание иценов против рима в 60 году?;Боудикка
Как звали гота,который захватил рим?;Аларих
В каком лесу погиб Квинтилий Вар и его 3 легиона?;Тевтобургский
Кто возглавил гуннов в их разрушительном походе на запад?;Аттила
Карфагенский военачальник,который почти сокрушил римскую республику;Ганнибал
Столица западной римской империи;Медиолан
Столица восточной римской империи;Константинополь
Кто поделил римскую империю на западную и восточную?;Феодосий
Кто возглавлял 300 спартанцев?;Леонид
Около какого города большая часть армии Дария была уничтожена?;Марафон
Как называлась древняя Франция?;Галлия
Кто был первым царем Рима?;Ромул
"Кому принадлежит это высказывание: ""Неспособный к раскаянию неисцелим""?";Аристотель
"Кому принадлежит это высказывание: ""Чтобы разбудить совесть негодяя, надо дать ему пощечину""?";Аристотель
"Кому принадлежит это высказывание: ""Дружба — золотая середина между стремлением нравиться и хамством""? ";Аристотель
"Кому принадлежит это высказывание: ""Любовь — теорема, которую каждый день надо доказывать""? ";Архимед
"Кому принадлежит это высказывание:  ""Самая большая глупость в жизни человека — это ложь""? ";Будда
"Кому принадлежит это высказывание:  ""Собранные разумом не умирают, легкомысленные подобны мертвецам""? ";Будда
"Кому принадлежит это высказывание: ""Обычно люди видят во сне то, о чем они думают днем""? ";Геродот
"Кому принадлежит это высказывание: ""Человек — лишь игралище случая""? ";Геродот
"Кому принадлежит это высказывание: ""Не исправляй беду бедою""? ";Геродот
"Кому принадлежит это высказывание: ""Женщины вместе с одеждой совлекают с себя и стыд""? ";Геродот
"Кому принадлежит это высказывание: ""Имей в виду, что любой день может оказаться для тебя последним""? ";Гораций
"Кому принадлежит это высказывание: ""Сила, лишенная разума, гибнет сама собой""? ";Гораций
"Кому принадлежит это высказывание: ""Если не бегаешь, пока здоров, придется побегать, когда заболеешь""? ";Гораций
"Кому принадлежит это высказывание: ""Управляй своим настроением, ибо оно если не повинуется, то повелевает""? ";Гораций
"Кому принадлежит это высказывание: ""То, что принято без доказательств, может быть отвергнуто без доказательств""? ";Евклид
"Кому принадлежит это высказывание: ""Что и требовалось доказать""? ";Евклид
"Кому принадлежит это высказывание: ""Нет царского пути в геометрии""? ";Евклид
"Кому принадлежит это высказывание: ""Pаконы природы - это лишь математические мысли Бога""? ";Евклид
Какую популярную игру создали в древней Индии?;шахматы
Какое важное изобретение Китая сначала использовалось в гадании, а потом в мореходстве?;компас
Кого в Китае называли Сыном неба?;императора
Какая религия распространена в Китае?;конфунцианство
Какое животное считалось символом мудрости в Китае?;дракон
 Из частей тела какого бога  по преданию в Древней Индии произошли все группы людей?;Брахмы
На берегах какой реки возник Древний Египет?;нил
Кого называли  земным повелителем в Египте?;фараон
"Кто  называл себя ""Царь царей - великий царь""?";Дарий
В какой стране был изобретён алфавит?;финикия
В каком государстве, по мнению археологов, изобрели колесо?;месопотамия
Какая в древней японии была особая форма брака?;цумодои
Как назывались воины в Древней Индии?;кшатрии
Как называлась каста ремесленников , скотоводов и земледельцев  в Древней Индии?;вайшьи
Как называлась каста рабочих и слуг в Древней Индии?;шудры
Самая образованная группа: священники, наставники, учителя и ученые в Древней Индии. Как они назывались?;брахманы
Чудовище, имеющее туловище человека и голову быка;минотавр
Как звали строителя Лабиринта на острове Крит?;дедал
;
